,,,,,,,,,
Pre-hit context,Hit string,Post-hit context,File name,Transcript ID,Speaker ID,Speaker gender,Speaker role,Speaker native speaker status,
" that someone would be like that but just like, not like to ha- i don't have a face but just to have",like,"a name like that person has a name just like so typical that someone like, like someone has_ you kno", Brazilian Studies Student Presentations ,STP545JU091,S8,F,JU,NS,
"ing everyone there appreciated. you didn't have to dress up you didn't have to wear suits, it wasn't",like,"M-I-T, it wasn't like Georgia Tech. m- the faculty in engineering had all come from, that, culture. ", Radiological Health Engineering Lecture ,LES445SU067,S1,F,SF,NS,
"  there are lots of examples out  there, just",like,this.    , Brazilian Studies Student Presentations ,STP545JU091,S4,M,JU,NS,
   well you know what though  there's some people who,like,accounting.    , Economics Office Hours ,OFC280SU109,S2,F,JF,NS,
"ternal environment, signals, the cell_ signals that virus to like, start like, producing its own vi-",like,taking over the cell and like producing its own virus and things like that.  right?  , Intro Biology Study Group ,SGR175MU126,S1,F,SU,NS,
"lic profile, okay? everybody remember that? and we average that in fact to get something that looked",like,"Darcy's Law. okay, well now i'm sitting in the pore, and i am subject to that flow field and i'm a l", Intro to Groundwater Hydrology Lecture ,LES205JG124,S1,F,SF,NS,
"ple choice, um, when the multiple choice occurred first, they would always use dialogue because it's",like,"they had an example beforehand, when they read the multiple choice it's like here's some examples of", Second Language Acquisition Student Presentations ,STP355SU010,S11,F,SU,NS,
  so then i would do them and i would put that in my project. like i would have a part that was,like,"this is empowerment zones in Detroit. this is um, like what local labor market theory is and then li", Senior Thesis Study Group ,SGR999SU146,S2,F,SU,NS,
"h, like not getting enough sleep or marriage problems relationship problems uh, work problems things",like,"that. and finally there's chemical stress which is a much broader category but it's mostly a, chemic", Teaching Biochemistry Student Presentations ,STP175SU141,S17,F,SU,NRN,
se if  i drop it then i think i'm down to eleven credits then the Business School doesn't,like,that either. so  you know it's like  it's a catch-twenty-two.   , Academic Advising ,ADV700JU047,S4,M,JU,NS,
  i don't know any (these) people who are the vocalists cuz they're all,like,", in their own world.  they always carry around their bottles o", English Composition Seminar ,SEM300MU100,S4,F,SU,NS,
   alright. okay injury prevention,like,"i said um this is, a relatively new departure for me i've been working, on this topic for about six ", Nursing Student Presentations ,STP450SG128,S7,F,SG,NS,
" expectations of sales based on the previous year but, kinda based on like a, like a moving scale or",like,", like costs (us) i don't know like something yeah an average growth like something else in, in, in ", Behavior Theory Management Lecture ,LEL185SU066,S2,M,SU,NS,
n of national parks to feed this Western desire to be able to go to beautiful places and see animals,like,"giraffes and lions, in their natural habitat, is something else that is a relatively recent developm", Intro Anthropology Lecture ,LEL115JU090,S1,F,JF,NS,
 and you have to sit and compute this by hand. s- so a calculator's always useful if you really feel,like,", you can't do these things by hand. okay now that i've laid that bomb, let's go back to talking abo", Statistics in Social Sciences Lecture ,LES565MX152,SU-m,M,UN,NS,
    mm. so,like,"... mm.  how would you how would you go about like uh, (doing 'em over) he", Computer Science Office Hours ,OFC270MG048,S7,M,SU,NNS,
"x Gallery the other poets were, were either h- horn-rimmed intellectual hepcats with wild black hair",like,"Alva Goldbrook, or delicate pale handsome poets like O'Shea, or out of this world genteel looking re", Literature and Social Change Lecture ,LEL300SU020,S1,M,SF,NS,
h with Brenda and and as a company level at all because if_ everyone in the_ all the salespeople are,like_,"basically hate the company, you know? so along with stock options which i think is a great idea, i t", Behavior Theory Management Lecture ,LEL185SU066,S26,M,SU,NS,
    they're,like,", definitely (good.)   the musi", English Composition Seminar ,SEM300MU100,SU-f,F,UN,NS,
"  um, i think it's really interesting to show_",like,they paralleled each other exactly with how the mother acted and how the father acted. and then i'll, American Family Group Project Meeting ,SGR565SU144,S1,F,SU,NS,
"i told her what i was interested in doing, and then i was like could i use the research? and she was",like_,"cuz there's several different parcels of research like, there's like five different communities i th", Senior Thesis Study Group ,SGR999SU146,S2,F,SU,NS,
"ch we don't read any of her but more on like the Susie Bright approach, to pornography which is just",like,", she's like pro-porn woo-hoo like,  like get in there and make"," Sex, Gender, and the Body Lecture ",LES565SU137,S14,F,JU,NS,
"  are do you think that your um, like your research packet is gonna be",like,useful to these businesses too? like you might want to give them a copy of  it or  , Senior Thesis Study Group ,SGR999SU146,S1,F,SU,NS,
"like out of food we feel like Old Mother Hubbard, Heather and i do because we go to the cupboard and",like,", we have some stuff, but we're missing, one ingredient out of everything we could make, so yesterda", Math Study Group ,SGR385SU057,S2,F,SU,NS,
"and you what her role was? she was a n- seventy-nine, version of a man. so what does that say about,",like,", roles, and bein- like, bri- like primary roles, in the movies and the T-V? it doesn't really say m", Black Media Student Presentations ,STP095SU139,S12,F,UN,NS,
"ave to get, like i think a B on the last test to get like C-minus or a C. and i mean i don't know if",like,", i mean i know i have to make this decision  like    ", Academic Advising ,ADV700JU047,S4,M,JU,NS,
"m, there is also like, remember i said i was like wasn't sure about computer sci- like i was reading",like,"it's right in there actually and it says that like people, considering pharmacy should also consider", Academic Advising ,ADV700JU047,S6,F,JU,NS,
   yeah so wh- where do you guys wanna sit? ,like,"right, just right here? do we wanna sit over here?   ", Graduate Public Policy Seminar ,SEM340JG072,S4,M,JG,NS,
"bout, how bad it's gotten today and just, think about some of the C-Ds that you guys might have and,",like,"some of the lyrics that they (xx.) and how they're like sexually degrading, um the women. um, in the", Black Media Student Presentations ,STP095SU139,S2,F,SU,NS,
"ts this oxbow lake off, from the main channel. so you have just this other, it always looks, like a,",like,"a U-shape, like that. okay so that's a oxbow lake and you can see, up here, showing the oxbow lake a", Spring Ecosystems Lecture ,LES425SU093,S3,F,SG,NS,
   i was confused as to whether,like,"just, the sake of tradition, was accessing the past or are you looking for like examples like, like ", History Review Discussion Section ,DIS315JU101,S2,F,JU,NS,
"  a lot of people i know (most people) even if their parents are together now, it's",like,"a remarriage. like do y- like, three of my friends have like their parents, but then before they wer", American Family Group Project Meeting ,SGR565SU144,S2,F,SU,NS,
